case_id,title,symptom,topology_note,show_output,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix,verification
CASE-001,Wrong access VLAN,PC has an IP address but cannot reach another PC in the same intended VLAN,PC1 connected to SW1 Fa0/3,Fa0/3 assigned to VLAN 20; expected VLAN is 30,Incorrect access VLAN,Layer 2,VLAN,High,show interfaces fa0/3 switchport,Assign Fa0/3 to VLAN 30,PC can reach destination
CASE-002,Missing VLAN,PC cannot communicate with devices in VLAN 20,PC connected to SW1; VLAN 20 should exist,VLAN 20 not present in show vlan brief,Missing VLAN,Layer 2,VLAN,High,show vlan brief,Create VLAN 20 and assign required port,PC connectivity restored
CASE-003,Trunk VLAN missing,Devices across switches cannot communicate,SW1 connected to SW2 using trunk,Trunk is up but VLAN 30 is not allowed,Trunk does not carry required VLAN,Layer 2,Trunk,High,show interfaces trunk,Allow VLAN 30 on trunk,Devices communicate across switches
CASE-004,Access port shutdown,PC has no network connectivity,PC connected to Fa0/5,Fa0/5 is administratively down,Interface administratively down,Layer 1,Interface,High,show interfaces fa0/5 status,Enable the interface,PC link becomes operational
CASE-005,Native VLAN mismatch,Inter-switch connectivity is unstable,SW1 and SW2 connected by trunk,Native VLAN differs between switches,Native VLAN mismatch,Layer 2,Trunk,Medium,show interfaces trunk,Match native VLAN configuration,Trunk operates normally
CASE-006,Wrong subnet mask,PC cannot reach its gateway,PC connected to router R1,PC configured with incorrect subnet mask,Incorrect subnet mask,Layer 3,IP addressing,High,show ip interface brief,Correct the subnet mask,PC can reach gateway
CASE-007,Wrong default gateway,PC can reach local devices but not remote network,PC connected to SW1 and routed by R1,PC gateway points to wrong router,Default gateway misconfiguration,Layer 3,Gateway,High,show ip interface brief,Set correct default gateway,Remote network becomes reachable
CASE-008,Duplicate IP,Two PCs have intermittent connectivity,PC1 and PC2 connected to same switch,Two devices use the same IP address,Duplicate IP address,Layer 3,IP addressing,High,show arp,Assign unique IP addresses,Both PCs communicate normally
CASE-009,Missing route,PC can reach local gateway but not remote server,R1 connected to R2 and server network,Destination network missing from routing table,Missing route,Layer 3,Routing,High,show ip route,Add required route or routing advertisement,Remote server becomes reachable
CASE-010,Incorrect static route,Remote network unreachable,R1 routes traffic toward R2,Static route points to incorrect next hop,Incorrect static route,Layer 3,Routing,High,show ip route,Correct next-hop or exit interface,Remote network reachable
CASE-011,OSPF neighbor down,Routes are missing between routers,R1 and R2 connected directly,OSPF neighbor is not in FULL state,OSPF adjacency failure,Layer 3,OSPF,High,show ip ospf neighbor,Correct OSPF interface/network configuration,Neighbor reaches FULL
CASE-012,OSPF area mismatch,Two routers cannot form OSPF adjacency,R1 and R2 connected through Ethernet,OSPF interfaces use different areas,OSPF area mismatch,Layer 3,OSPF,High,show ip ospf interface,Use matching OSPF area,Adjacency forms
CASE-013,Interface IP mismatch,Two routers cannot communicate,R1 connected directly to R2,Interfaces are configured with incompatible IP networks,IP addressing mismatch,Layer 3,IP addressing,High,show ip interface brief,Configure compatible IP addresses,Router interfaces can ping each other
